,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
373,Grand Gaube,75,MU,1579987237,83,-20.01,57.66,77.0,11.41
374,Gigmoto,77,PH,1579986842,82,13.78,124.39,80.22,16.58
375,Kazanskaya,82,RU,1579987237,74,45.41,40.44,41.0,23.04
376,Khovd,100,MN,1579987237,54,48.01,91.64,8.42,1.41
377,Khani,0,GE,1579987237,71,41.96,42.96,25.92,7.43
378,Mersa Matruh,0,EG,1579987237,56,31.35,27.25,58.39,2.98
379,Laas,40,IT,1579987238,69,46.62,10.7,35.6,3.36
380,Hong Kong,100,HK,1579987172,95,22.29,114.16,62.01,8.66
381,Bintulu,76,MY,1579987238,94,3.17,113.03,78.01,1.99
382,Gaoua,31,BF,1579987238,7,10.3,-3.25,78.1,5.21
383,Comodoro Rivadavia,0,AR,1579987238,60,-45.87,-67.5,66.25,4.32
384,Port Blair,100,IN,1579987238,69,11.67,92.75,78.12,11.65
385,Erzin,0,TR,1579987238,54,36.96,36.2,38.82,2.3
386,Nichinan,100,JP,1579987238,100,31.6,131.37,48.0,8.01
387,Sioux Lookout,100,CA,1579986822,92,50.1,-91.92,27.7,3.15
388,Port-Gentil,40,GA,1579987238,88,-0.72,8.78,82.4,6.93
389,Olafsvik,100,IS,1579987238,79,64.89,-23.71,35.91,13.38
390,Ankang,94,CN,1579987238,92,32.68,109.02,34.12,1.21
391,Landkreis Neustadt an der Waldnaab,100,DE,1579987239,90,49.71,12.09,33.01,2.48
392,Saint George's,100,GD,1579987239,77,12.06,-61.75,79.39,10.65
393,Nchelenge,100,ZM,1579987239,86,-9.35,28.73,70.7,3.89
394,Marawi,0,PH,1579987005,91,8.0,124.29,77.0,1.01
395,Jiblah,32,YE,1579987239,92,13.92,44.15,60.01,3.09
396,Gold Coast,0,AU,1579987181,92,-28.0,153.43,81.0,4.83
397,Kraslava,33,LV,1579987239,88,55.9,27.17,32.11,7.45
398,Smithers,97,CA,1579987239,95,54.78,-127.17,30.31,3.76
399,Sirte,100,LY,1579986996,33,31.21,16.59,60.66,10.8
400,Xingyi,100,CN,1579987239,90,24.19,102.82,38.86,3.78
401,Kihei,6,US,1579987239,71,20.79,-156.47,78.01,10.0
402,Sechura,23,PE,1579987239,82,-5.56,-80.82,75.58,14.58
403,Juneau,100,US,1579987239,92,58.3,-134.42,30.99,6.44
404,Namie,100,JP,1579987239,66,37.48,141.0,35.01,4.9
405,Banda Aceh,95,ID,1579987240,85,5.56,95.32,71.76,3.36
406,The Pas,100,CA,1579987240,91,53.83,-101.25,23.45,5.86
407,Ranong,100,TH,1579987240,81,9.97,98.63,75.61,6.08
408,Nizhniy Tsasuchey,100,RU,1579987240,83,50.52,115.13,0.01,5.35
409,Port Augusta,0,AU,1579987211,64,-32.5,137.77,66.99,4.99
410,Landeck,100,AT,1579987240,88,47.13,10.56,35.01,6.04
411,Masyaf,0,SY,1579987240,56,35.07,36.34,38.62,7.56
412,College,100,US,1579987198,73,64.86,-147.8,-4.0,3.0
413,Dourados,0,BR,1579987240,58,-22.22,-54.81,85.41,2.8
414,Develi,0,TR,1579987240,48,38.39,35.49,24.31,4.63
415,Udachny,79,RU,1579987240,96,66.42,112.4,-23.08,9.78
416,Kawhia,18,NZ,1579987240,76,-38.07,174.82,78.01,5.99
417,Prince Rupert,95,CA,1579987214,83,54.32,-130.32,44.31,17.94
418,Atar,75,MR,1579987241,20,20.52,-13.05,77.83,9.08
419,Nanchong,91,CN,1579987241,85,30.8,106.08,43.97,3.15
420,Bonfim,91,BR,1579987241,33,3.08,-59.95,95.07,6.42
421,Kalabo,0,ZM,1579987241,77,-14.97,22.68,70.88,2.59
422,Temascalcingo,100,MX,1579987241,41,19.92,-100.0,69.01,5.99
423,Abu Kamal,0,SY,1579987241,69,34.45,40.92,44.82,10.0
424,Nioro,100,GM,1579987241,9,13.35,-15.75,86.52,5.91
425,Neiafu,0,TO,1579987241,82,-18.65,-173.98,79.92,2.19
426,Ulaanbaatar,0,MN,1579987241,76,47.91,106.88,3.36,4.99
427,Novopskov,98,UA,1579987241,94,49.55,39.09,33.67,14.94
428,Khvoynaya,100,RU,1579987241,86,58.9,34.53,26.98,11.65
429,Forestville,90,US,1579987241,81,38.85,-76.88,51.01,11.41
430,Trinidad,71,BO,1579987241,65,-14.83,-64.9,88.36,4.12
431,Teahupoo,2,PF,1579987241,66,-17.83,-149.27,87.01,11.01
432,Kyabe,98,TD,1579987241,11,9.45,18.94,68.31,5.06
433,Kayerkan,100,RU,1579987241,92,69.35,87.76,3.97,9.4
434,Callaway,19,US,1579987242,64,30.15,-85.57,57.99,3.0
435,Donskoye,40,RU,1579987242,74,45.46,41.97,33.01,20.0
436,Raton,1,US,1579987242,27,36.9,-104.44,53.01,13.87
437,Iturama,10,BR,1579987242,77,-19.73,-50.2,79.54,3.85
438,Steinbach am Taunus,40,DE,1579987242,100,50.17,8.57,36.0,0.49
439,Acapulco de Juarez,7,MX,1579986839,51,16.86,-99.89,83.28,9.15
440,Taoudenni,62,ML,1579987242,14,22.68,-3.98,77.18,6.58
441,Angatuba,2,BR,1579987242,66,-23.49,-48.41,78.04,4.83
442,Minab,0,IR,1579987242,57,27.15,57.08,63.16,4.7
443,Nigran,0,ES,1579987242,89,42.14,-8.81,51.01,1.01
444,Rocha,0,UY,1579987144,48,-34.48,-54.33,75.42,12.66
445,Kokstad,49,ZA,1579987242,85,-30.55,29.42,58.21,4.72
446,Sinnai,0,IT,1579987242,83,39.3,9.2,52.0,2.46
447,Ruteng,99,ID,1579987243,89,-8.61,120.47,68.7,3.06
448,Dymer,91,UA,1579987243,89,50.79,30.3,35.01,1.01
449,Pontes e Lacerda,75,BR,1579987243,46,-15.23,-59.34,88.68,6.02
450,Salta,75,AR,1579987243,40,-24.79,-65.41,87.8,6.93
451,Thinadhoo,100,MV,1579987167,81,0.53,72.93,82.22,14.07
452,Teya,83,RU,1579987243,83,60.38,92.63,16.57,16.91
453,Tautira,63,PF,1579987009,66,-17.73,-149.15,87.01,11.01
454,Konstanz,100,DE,1579987243,95,47.66,9.18,34.0,1.03
455,Shelopugino,99,RU,1579987243,80,51.65,117.56,2.48,4.52
456,Seoul,100,KR,1579987243,82,37.57,126.98,35.6,2.89
457,Makakilo City,12,US,1579987153,54,21.35,-158.09,80.01,8.97
458,Flinders,41,AU,1579987243,22,-34.58,150.86,82.0,2.17
459,Nizhnevartovsk,94,RU,1579987243,95,60.93,76.55,5.41,8.86
460,Haines Junction,99,CA,1579987244,99,60.75,-137.51,-14.37,6.87
461,Nishihara,100,JP,1579987244,94,26.18,127.76,69.01,8.01
462,Chandbali,100,IN,1579987244,73,20.78,86.77,67.14,6.06
463,Yenagoa,89,NG,1579987244,57,4.92,6.26,75.25,4.41
464,Biu,24,NG,1579987244,18,10.61,12.19,67.87,17.94
465,Alamogordo,0,US,1579987244,27,32.9,-105.96,64.0,4.0
466,Pasighat,0,IN,1579987244,71,28.07,95.33,50.81,2.19
467,Soloneshnoye,100,RU,1579987244,95,51.65,84.32,20.01,2.64
468,Tikhvin,100,RU,1579987244,91,59.65,33.53,27.0,1.01
469,Salair,100,RU,1579987244,94,54.23,85.8,19.17,9.89
470,Chumikan,0,RU,1579987244,82,54.72,135.31,-12.3,13.47
471,Omboue,20,GA,1579987025,92,-1.57,9.26,76.93,3.91
472,Santa Lucia,29,ES,1579987244,68,27.91,-15.54,64.0,8.19
473,Betare Oya,10,CM,1579987244,21,5.6,14.08,66.79,5.99
474,Manono,100,CD,1579987245,91,-7.3,27.42,71.06,0.63
475,Nirmali,0,IN,1579987245,68,26.32,86.58,54.57,3.91
476,Eydhafushi,100,MV,1579987245,72,5.1,73.07,81.82,9.08
477,Ban Nahin,72,LA,1579987245,92,18.24,104.21,67.21,2.53
478,Matay,0,EG,1579987245,49,28.42,30.78,46.72,7.34
479,Visnes,100,NO,1579987245,96,59.36,5.22,44.01,13.0
480,Aswan,0,EG,1579987245,65,24.09,32.91,51.22,13.22
481,Kidal,99,ML,1579986981,10,18.44,1.41,73.35,7.45
482,Soyo,100,AO,1579987245,88,-6.13,12.37,80.6,8.32
483,Leningradskiy,96,RU,1579987133,95,69.38,178.42,-12.96,4.41
484,Codrington,85,AU,1579987245,93,-38.27,141.97,61.86,13.47
485,Hamilton,90,US,1579987245,93,39.18,-84.53,36.0,6.93
486,Hoquiam,90,US,1579987245,93,46.98,-123.89,54.0,4.7
487,Zhoucun,100,CN,1579987245,54,36.82,117.82,36.0,4.56
488,Buribay,100,RU,1579987245,92,51.96,58.16,22.3,15.73
489,Bar Harbor,100,US,1579987205,87,44.39,-68.2,37.0,4.0
490,Ballina,0,AU,1579987058,97,-28.87,153.57,75.0,5.5
491,Salinopolis,97,BR,1579987246,83,-0.61,-47.36,81.95,15.55
492,Batsfjord,70,NO,1579987246,81,70.63,29.72,16.11,24.58
493,Rafai,29,CF,1579987246,28,4.95,23.92,74.52,5.91
494,Hirado,100,JP,1579987246,93,33.36,129.55,50.0,5.99
495,Amapa,98,BR,1579987246,93,1.0,-52.0,77.95,4.14
496,Jijiga,100,ET,1579987198,90,9.35,42.8,61.34,12.15
497,Helong,0,CN,1579987246,81,42.54,129.0,6.08,5.14
498,Iskateley,99,RU,1579987246,100,67.68,53.15,-7.64,5.73
499,Roald,100,NO,1579987246,88,62.58,6.13,48.0,13.0
500,Samarai,47,PG,1579987171,84,-10.62,150.67,77.5,3.22
501,Monte Alegre,99,BR,1579987246,49,-2.01,-54.07,91.27,3.78
502,Pokhara,2,NP,1579987246,85,28.23,83.98,45.82,1.97
503,Bowen,100,AU,1579987247,93,-20.02,148.23,78.01,5.53
504,Pahrump,100,US,1579987183,33,36.21,-115.98,66.99,1.01
505,Mizan Teferi,100,ET,1579987247,40,6.98,35.58,69.49,2.82
506,Swan River,100,CA,1579987165,95,52.11,-101.27,26.56,2.84
507,Mizdah,100,LY,1579987247,22,31.45,12.98,59.5,4.34
508,Asau,71,RO,1579987170,80,46.43,26.4,28.0,7.0
509,Antofagasta,35,CL,1579987247,49,-23.65,-70.4,72.0,5.41
510,Thayetmyo,0,MM,1579987247,49,19.32,95.18,54.16,2.59
511,Esso,100,RU,1579987247,95,55.93,158.7,11.71,1.68
512,Brae,100,GB,1579987247,83,60.4,-1.35,47.26,25.97
513,Petropavlovsk-Kamchatsky,99,RU,1579987247,90,53.05,158.65,17.55,13.58
514,Jutai,78,BR,1579987247,62,-5.18,-68.9,88.23,2.24
515,Yangi Marg`ilon,100,UZ,1579987247,72,40.43,71.72,41.31,6.62
516,Hit,0,IQ,1579987248,67,33.64,42.83,48.79,13.78
517,Yeppoon,100,AU,1579987248,81,-23.13,150.73,79.09,6.17
518,Antsohihy,100,MG,1579987248,93,-14.88,47.99,73.4,3.71
519,Padang,91,ID,1579987212,96,-0.95,100.35,69.39,2.24
520,Balkanabat,1,TM,1579987248,69,39.51,54.37,29.16,0.96
521,Santa Rosa,67,PH,1579987248,90,14.31,121.11,77.0,1.01
522,Areosa,0,PT,1579987248,89,41.72,-8.86,51.01,1.01
523,Lejanias,62,CO,1579987248,65,3.53,-74.02,78.06,6.98
524,Monrovia,0,LR,1579987248,84,6.3,-10.8,79.99,7.02
525,Poya,67,NC,1579987248,77,-21.35,165.15,77.76,5.06
526,Ust'-Uda,100,RU,1579987248,86,54.17,103.03,7.45,4.47
527,Masallatah,78,LY,1579987248,38,32.62,14.0,59.27,3.91
528,Okha,0,RU,1579987248,82,53.57,142.95,-13.9,15.97
529,Maniitsoq,100,GL,1579987225,89,65.42,-52.9,13.84,4.52
530,Nikolsk,100,RU,1579987249,97,53.72,46.07,30.69,11.97
531,Kingseat,99,GB,1579987249,91,56.1,-3.41,45.0,8.01
532,Buchanan,0,LR,1579987249,88,5.88,-10.05,77.7,2.75
533,Portree,100,GB,1579987026,81,57.41,-6.19,46.99,25.01
534,Gao,14,ML,1579987249,8,16.64,1.64,75.76,11.95
535,Auki,0,SB,1579987007,76,-8.77,160.7,83.41,6.08
536,Laramie,1,US,1579987249,33,41.31,-105.59,44.6,16.11
537,Peleduy,97,RU,1579987249,95,59.63,112.74,15.53,6.38
538,Manbij,0,SY,1579987249,60,36.53,37.95,37.96,11.36
539,Ouidah,62,BJ,1579987249,42,6.36,2.09,75.24,4.41
540,Cabedelo,71,BR,1579987249,79,-6.98,-34.83,81.37,9.35
541,Escanaba,100,US,1579987081,97,45.75,-87.06,37.99,5.37
542,Laredo,100,US,1579987015,86,27.51,-99.51,66.0,7.65
543,Kushmurun,100,KZ,1579987249,86,52.45,64.63,18.36,23.31
544,Manggar,8,ID,1579987250,81,-2.88,108.27,81.05,10.63
545,Nikolayevsk-on-Amure,0,RU,1579987250,91,53.14,140.73,-20.87,4.88
546,Goderich,100,CA,1579987250,93,43.75,-81.72,36.0,1.99
547,Kupang,69,ID,1579987178,77,-10.17,123.58,83.17,4.54
548,Binga,0,ZW,1579987250,72,-17.62,27.34,77.63,4.59
549,Upata,100,VE,1579987250,39,8.01,-62.4,85.82,6.49
550,Pandamatenga,4,BW,1579987250,75,-18.53,25.63,69.01,5.28
551,Aleppo Governorate,0,SY,1579987250,61,36.25,37.5,40.06,9.53
552,Kokopo,74,PG,1579987250,80,-4.35,152.26,81.59,5.37
553,'Ewa Beach,12,US,1579987158,54,21.32,-158.01,80.01,8.97
554,Ternate,25,ID,1579987087,94,0.8,127.4,73.67,2.24
